entry,set,layer,arm_A,arm_B,arm_C,arm_A_score,arm_B_score,arm_C_score
005L18,multilingual,18,"ness |  freaking |  everybody |  "" |  really | really |  whats |  Anyway |  crazy |  basically"," "" | "" |  really | -"" |  ,"" |  """" | !"" | -- | ."" |  --"," "" | "" |  im | 塞 | ye | ler | S |  up | ( |  a",2,1,1
005L24,multilingual,24," everybody | „ |  "" |  „ |  Everybody |  somebody |  German | ness | ´t | 德语","下一个 | ‑ |  m | ache | ilm |  "" | 塞 | 填入 | 舍 | prog"," "" | "" |  everybody | -"" | ¨ | „ |  „ |  German | ."" |  """"",3,1,2
006L00,poetry,0,"  | , | . | ... |  ( | - | 
 | / | ( | '","ly | an |  


 | jenigen | (er |  




 | al | , | ""-- |  �",ly | raries | ся | an | –and | 倡廉 |  Weiner | igor | jenigen | zelfde,0,0,1
006L06,poetry,6,ly | imately | но | ся | dish | raries | zeitig | 中行 | اً | ward,加拿大 | ly | 勇往直前 | -esque |  замо |  ës | 相辅相成 | beau | -ish | edal,... |   | . | - | / | ( | _ |   | [ | 在,1,1,0
006L12,poetry,12,"... | 
 |  ... | ly |   |  
 | … | ..., | lets | ..","  | ... | s | 
 |  
 | - | / | … | . | �",ly | ... | a | ्स | но | ו | er | ays | alak | istic,1,0,1
006L18,poetry,18,... | … | .. | � |     |    |   | __ | 润 | <,"  | ... | 
 | … | ly | .. | a |  indeed |  
 |  ...",ly | a |   | ्स | en | 데요 | iful | an | hips | “,0,1,1
006L24,poetry,24, poetic |  poetry | ... |   |  poems |  poets |  poem |  Poetry |  rhyme | ly,ly |  poetic |   | ... |  poetry | a | icles | ся | iful |  Poetry,... |   | … | ta | .. | a | __ | — | // |   ,3,2,0
007L00,poetry,0,"  | , | . | ... |  ( | - | / | 
 | ' | (","ly | ""-- | (er | jenigen | an |  


 |  




 | ."","" | -but | ,",ly | raries | ся | –and |  Weiner | an | 倡廉 | jenigen | aldo | igor,0,0,1
007L06,poetry,6,ly | zeitig | но | ся | 써 | ward | jenigen | lich | imately | raries,  | ... | . | - | ( |   | / |  ( | ! | 	,ly | alak | beau | imately | 加拿大 | zeitig | jenigen |  rval |  skept | edal,1,0,1
007L12,poetry,12,"... |  ... | ly | alak | 
 |  
 | ..., |  poetic | umbles |  poetry","  | ... | s | � | . | ed | � | 
 | - |  
",ly | alak | quit | но | ... | ו | ighbor | ward | iful | lich,2,0,1
007L18,poetry,18,� | ... |   | < |     | .. | __ |    | // | …,ly |   | 데요 | haps | iful |  poetic | fully | alak | LY | hips,"  | ... | … | ly |  poetic |  
 |  poetry | haps | —but |  indeed",0,1,2
007L24,poetry,24, poetic |  poetry |  poem |  poets |  Poetry |  poems |  rhyme | ... |  poet |  verse,... | … |   |  rhyme | .. | 	 | — | ta | // |        ,ly |  poetic |  poetry |  Poetry |   |  poets | ся | iful |  lyric | icles,3,1,2
008L00,multihop,0,"  | ... | - |  ( | / | . | , | ' | 
 | ?"," "" | ..."" |  ""... | !"" |  **"" | -"" | ："" | ."" |  ..."" |  ""--",ness | ação | tures | ization | ами | ses | ties | iest | sel | 来得及,0,0,1
008L06,multihop,6," "" |  ("" | s |  ,"" | -"" |  ""( |  ""-- | ,"" | "" | —""","s |  "" | ization | ynec | anceled | —"" | ness | spez | sburg | niest","  | ... |  "" | "" | . | … |  ( | 
 | , |  ",0,1,0
008L12,multihop,12,"ynec | ization | anceled | Canceled | ness | iest | eness | ല് | izer |  """," "" | "" |  ("" |  ,"" |  """" | -"" |  ""-- |  ""( | ("" | s","
 | "" |   | ... |  ( |  "" | . | - | … | :",1,0,0
008L18,multihop,18," "" | "" | ="" | “ |  """" | ("" | ."" | -"" | !"" | —""","ness | —"" | anceled | eness |  "" | ynec | s | ьте |  poop | ousel","... | 
 | "" | . | … | ly | S |  "" | J | y",0,1,0
008L24,multihop,24," "" | "" |  """" | “ |  \"" | ="" | -"" | ."" | ,"" | ″","... | . | S | … | 
 | M | J | B | _ | ("," "" | izer | ness | eness | anceled | ynec | ousel | ьте | arium | anan",0,0,1
009L00,typo,0,"  | , | . | - | 
 |  ( | / | : | <|endoftext|> | ?",써 | ally | naire | て | اً | ্ড | ALLY | ation | ized | nement,ally | naire |  seperate |  alot | ality | 써 |  seper | て | naires | aylor,0,1,1
009L06,typo,6,"  | / |   | ... |  ( | l | “ | 
 |  * | f",ally |  alot |  seperate | naire |  thats |  seper | ALLY |  isnt | ation |  didnt,ally | naire | اً | ation | ALLY | て | ly |  alot | nement | ition,0,3,1
009L12,typo,12,ally | ation | て |  alot | ly |  seperate |  isnt | naire | ALLY |  seper," alot |  seperate |  "" |  , | ally | e |  isnt |  seper |   | -","... | “ | : |  "" | / |   |  ` | _ |  c |  *",2,2,0
009L18,typo,18,... | … |   |  ` | uh | .. |  ... | 充 | 推 | 与其,"e |  alot |  "" |  , | 
 | l | ally |  thats |  isnt | y", alot | ally |  thats | ation |  isnt | ly | e |  didnt | て |  doesnt,0,2,3
009L24,typo,24,"... | ary | __ | ette | l |  ` | ad | 旨在 |  "" |  -", alot |  thats | e | ally |  isnt | ation | ly |  succesfully |  didnt |  seperate," "" | e |  , | - | l | 
 |  - |  alot |   |  to",0,3,1
