model,set,item_id,intermediate,lens,layer,top10
gemma-3-27b-it,multihop,mars-color,Mars,released-R,56, red |  reddish |  Red | red |  orange |  RED |  commonly | Red | 红 |  often
gemma-3-27b-it,multihop,mars-color,Mars,released-R,57, red |  reddish |  Red |  orange |  RED |  commonly | red | Red |  often | 红
gemma-3-27b-it,multihop,mars-color,Mars,released-R,58, red |  Red |  reddish |  commonly |  often |  RED |  orange |  primarily |  known |  called
gemma-3-27b-it,multihop,mars-color,Mars,released-R,59, red |  Red |  reddish |  often |  known |  called |  commonly |  famously |  largely |  orange
gemma-3-27b-it,multihop,mars-color,Mars,released-R,60, red |  Red |  often |  reddish |  commonly |  a |  known |  called |  most |  predominantly
gemma-3-27b-it,multihop,mars-color,Mars,released-J,0,ness | ity | </b> |  입니다 |  부터 |  ok |  jalap |  Wifi | shire | y
gemma-3-27b-it,multihop,mars-color,Mars,released-J,1,ness | ity | shire |  입니다 |  부터 | </b> |  jalap | y |  সাধারন |  Jimenez
gemma-3-27b-it,multihop,mars-color,Mars,released-J,2,ness | ity | shire |  jalap |  입니다 |  부터 |  Rodriguez | ly |  Jimenez | ment
gemma-3-27b-it,multihop,mars-color,Mars,released-J,3,ness | ity | shire | ly |  أيضا |  Rodriguez | ся | </b> |  Jimenez |  입니다
gemma-3-27b-it,multihop,mars-color,Mars,released-J,4,ity | ness |  bowiem |  입니다 | </b> | ся | shire |  까지 | ly |  pues
gemma-3-27b-it,multihop,mars-color,Mars,released-J,5,ity | ness |  bowiem | ся | </b> | shire | ment |  입니다 | ly |  indeed
gemma-3-27b-it,multihop,mars-color,Mars,released-J,6,ity | ness |  bowiem | ся | shire | ment | </b> |  입니다 | ly |  indeed
gemma-3-27b-it,multihop,mars-color,Mars,released-J,7,"</b> | ness | ity |  indeed | ment |  , |  bowiem | shire | ся |  ‘’"
gemma-3-27b-it,multihop,mars-color,Mars,released-J,8,</b> | ness | ity |  indeed |  Histogram | ся |  . |  therefore | ment |  bowiem
gemma-3-27b-it,multihop,mars-color,Mars,released-J,9,</b> | ness | ity |  indeed | ся |    |  bowiem |  . |  therefore |  Histogram
gemma-3-27b-it,multihop,mars-color,Mars,released-J,10,</b> | ity | ness |  indeed |  Oak | ся |  ` |  أيضا |  Magnesium |  .
gemma-3-27b-it,multihop,mars-color,Mars,released-J,11,</b> | ity | ness |  ` |  indeed |  Oak |  `` |  '' |  أيضا |  ¨
gemma-3-27b-it,multihop,mars-color,Mars,released-J,12,ity | </b> | ness |  indeed |  ?. |  ! |  Oak | сть |  أيضا |  color
gemma-3-27b-it,multihop,mars-color,Mars,released-J,13,ity | ness | </b> |  indeed |  indoor |  color | сть |  Jimenez |  to |  allowed
gemma-3-27b-it,multihop,mars-color,Mars,released-J,14,ity | ness | </b> |  color |  . |  colors |  indeed |  always |  Jimenez |  ?.
gemma-3-27b-it,multihop,mars-color,Mars,released-J,15,</b> | ness | ity | � |  because |  colors |  ?. |  Pokemon |  color |  !
gemma-3-27b-it,multihop,mars-color,Mars,released-J,16,</b> | ity |  color | ness | � |  colors |  ! |  ¨ | . |  to
gemma-3-27b-it,multihop,mars-color,Mars,released-J,17,"</b> | ness |  because | ity |  ! |  ¨ |  colors |  Pokemon |    |  ,"
gemma-3-27b-it,multihop,mars-color,Mars,released-J,18,"</b> |  colors |    |  , | � |  color |  ! | . |  : | ness"
gemma-3-27b-it,multihop,mars-color,Mars,released-J,19,"</b> |  colors |  color | � |  ! | 
 |  : |  , | ity |  Pokemon"
gemma-3-27b-it,multihop,mars-color,Mars,released-J,20,"</b> |  colors |  color |  Pokemon |  ! |    | ity | 
 |  : | ness"
gemma-3-27b-it,multihop,mars-color,Mars,released-J,21,</b> |  according | � |  colors |  because |  Pokemon |  : |  ! |  ¨ | </strong>
gemma-3-27b-it,multihop,mars-color,Mars,released-J,22,</b> |  ! |  colors |  '' |  ?. |  according |  because |  ¨ |  color |  ?
gemma-3-27b-it,multihop,mars-color,Mars,released-J,23,</b> |  colors |  color | </strong> |  Colors |  Pokemon |  ` |  because |  ! | ness
gemma-3-27b-it,multihop,mars-color,Mars,released-J,24,</b> |  colors |  color |  Colors |  scientifically |  vegetable |  과학 | </strong> |  multicolored | Colors
gemma-3-27b-it,multihop,mars-color,Mars,released-J,25, colors | </b> |  color |  scientifically |  vegetable |  Vegetable |  Colors |  multicolored |  scientific |  vegetables
gemma-3-27b-it,multihop,mars-color,Mars,released-J,26,</b> |  neither |  presently |  peculiar |  purportedly |  commonly |  colors |  indeed |  color |  multicolored
gemma-3-27b-it,multihop,mars-color,Mars,released-J,27, commonly | </b> |  colors |  known |  color |  scientifically |  multicolored |  popularly |  scientific |  peculiar
gemma-3-27b-it,multihop,mars-color,Mars,released-J,28, commonly |  colors |  color |  known |  scientifically |  popularly |  multicolored |  ______ |  peculiar |  nicknamed
gemma-3-27b-it,multihop,mars-color,Mars,released-J,29, commonly |  usually |  sometimes |  often |  known |  colors |  oftentimes |  popularly |  color |  scientifically
gemma-3-27b-it,multihop,mars-color,Mars,released-J,30, commonly |  colors |  usually |  nicknamed |  color |  sometimes |  known |  popularly |  often |  named
gemma-3-27b-it,multihop,mars-color,Mars,released-J,31, colors |  color |  commonly |  nicknamed |  multicolored |  popularly |  scientifically |  coloring |  usually |  coloration
gemma-3-27b-it,multihop,mars-color,Mars,released-J,32, colors |  color |  multicolored | 颜色 |  Colors |  Color |  coloration |  colored | 顏色 | colors
gemma-3-27b-it,multihop,mars-color,Mars,released-J,33, color |  colors |  multicolored | 颜色 |  रंग |  Color | 顏色 |  coloration |  Colors | colors
gemma-3-27b-it,multihop,mars-color,Mars,released-J,34, colors |  color | 颜色 | 顏色 |  coloration |  цвета |  रंग | colors |  colores |  Colors
gemma-3-27b-it,multihop,mars-color,Mars,released-J,35, colors |  color | 颜色 |  reddish |  रंग |  색 | 顏色 |  nicknamed |  цвета |  রঙের
gemma-3-27b-it,multihop,mars-color,Mars,released-J,36, colors |  color |  reddish |  রঙের |  nicknamed | 颜色 |  रंग |  COLOR |  색 |  цвета
gemma-3-27b-it,multihop,mars-color,Mars,released-J,37, reddish |  colors |  color |  রঙের |  nicknamed | 紅色 |  색 | 颜色 |  цвета |  yellowish
gemma-3-27b-it,multihop,mars-color,Mars,released-J,38, Martian |  reddish |  Mars |  nicknamed | 紅色 |  color | Mars |  colors |  yellowish | 红色
gemma-3-27b-it,multihop,mars-color,Mars,released-J,39, reddish |  Martian |  Mars |  nicknamed | 紅色 |  color | Mars |  planetary |  planet |  colors
gemma-3-27b-it,multihop,mars-color,Mars,released-J,40, reddish |  nicknamed |  Martian |  yellowish | 紅色 |  Mars |  multicolored |  colors |  named |  color
gemma-3-27b-it,multihop,mars-color,Mars,released-J,41, Martian |  Mars | Mars |  reddish |  mars |  planetary |  planet | mars | 紅色 | 红色
gemma-3-27b-it,multihop,mars-color,Mars,released-J,42, Mars |  Martian | Mars |  reddish |  mars |  planetary | 紅色 |  yellowish |  planet | 红色
gemma-3-27b-it,multihop,mars-color,Mars,released-J,43, reddish |  Martian |  Mars | Mars |  yellowish | 紅色 |  nicknamed |  grayish | 红色 |  mars
gemma-3-27b-it,multihop,mars-color,Mars,released-J,44, reddish |  Martian |  Mars | Mars |  yellowish | 紅色 | 红色 |  grayish |  nicknamed |  rougeâtre
gemma-3-27b-it,multihop,mars-color,Mars,released-J,45, reddish |  orange | 红色 | 紅色 |  yellowish |  சிவப்பு |  красный |  Martian |  Mars |  rougeâtre
gemma-3-27b-it,multihop,mars-color,Mars,released-J,46, reddish |  red | 红色 |  красный | 紅色 |  சிவப்பு |  крас |  kırmızı |  reds |  redness
gemma-3-27b-it,multihop,mars-color,Mars,released-J,47, reddish |  red | 红色 |  красный | 紅色 |  крас |  சிவப்பு |  kırmızı |  redness |  reds
gemma-3-27b-it,multihop,mars-color,Mars,released-J,48, reddish |  red |  orange | 红色 |  красный | 紅色 |  kırmızı |  சிவப்பு |  reds |  крас
gemma-3-27b-it,multihop,mars-color,Mars,released-J,49, reddish |  red |  красный | 红色 | 紅色 |  kırmızı |  крас |  சிவப்பு |  reds |  قرمز
gemma-3-27b-it,multihop,mars-color,Mars,released-J,50, reddish |  red |  красный | 红色 | 紅色 |  kırmızı |  крас |  reds |  சிவப்பு |  قرمز
gemma-3-27b-it,multihop,mars-color,Mars,released-J,51, reddish |  red |  красный | 红色 | 紅色 |  kırmızı |  крас |  reds |  قرمز |  சிவப்பு
gemma-3-27b-it,multihop,mars-color,Mars,released-J,52, red |  reddish |  Red |  красный |  reds | Red | 红 | 红色 |  крас | 紅色
gemma-3-27b-it,multihop,mars-color,Mars,released-J,53, red |  reddish |  Red |  красный |  крас | 红 | 红色 |  reds | Red | 紅色
gemma-3-27b-it,multihop,mars-color,Mars,released-J,54, red |  reddish |  Red | Red | 红 |  reds |  красный |  крас |  RED | red
gemma-3-27b-it,multihop,mars-color,Mars,released-J,55, red |  reddish |  Red | red | Red |  RED | 红 |  красный |  reds |  крас
gemma-3-27b-it,multihop,mars-color,Mars,released-J,56, red |  reddish |  Red | red | Red |  RED | 红 |  красный |  orange |  крас
gemma-3-27b-it,multihop,mars-color,Mars,released-J,57, red |  reddish |  Red |  RED | Red | 红 | red |  orange |  красный |  commonly
gemma-3-27b-it,multihop,mars-color,Mars,released-J,58, red |  reddish |  Red |  commonly |  often |  RED |  orange | Red |  primarily |  predominantly
gemma-3-27b-it,multihop,mars-color,Mars,released-J,59, red |  Red |  reddish |  often |  known |  called |  famously |  commonly |  orange |  predominantly
gemma-3-27b-it,multihop,mars-color,Mars,released-J,60, red |  Red |  often |  reddish |  commonly |  a |  known |  called |  most |  predominantly
gemma-3-27b-it,multihop,mars-color,Mars,logit,0, is |  are |  has | y | s |  heeft | した | する | と | d
gemma-3-27b-it,multihop,mars-color,Mars,logit,1, is |  are | した | y |  has | する |  heeft | と | して | もの
gemma-3-27b-it,multihop,mars-color,Mars,logit,2, is | y | した |  are |  has | する |  heeft | して | と |  does
gemma-3-27b-it,multihop,mars-color,Mars,logit,3, is | y |  has | した |  heeft | する | と | して | もの | ון
gemma-3-27b-it,multihop,mars-color,Mars,logit,4, is | y |  has | ון | もの | d | する | と |  OBJECT | ים
gemma-3-27b-it,multihop,mars-color,Mars,logit,5,y |  is |  has | ון | d | s | もの | ים |  OBJECT | g
gemma-3-27b-it,multihop,mars-color,Mars,logit,6,y |  is |  has | ון | d | g | s | ים | もの |  OBJECT
gemma-3-27b-it,multihop,mars-color,Mars,logit,7,y | g | d | u | ון |  has |  MAP | m | on | k
gemma-3-27b-it,multihop,mars-color,Mars,logit,8,y | u | d | g | on | m |  MAP |  has | k | ים
gemma-3-27b-it,multihop,mars-color,Mars,logit,9,u | y | g | d | k | on |  MAP | m |  has |  HAS
gemma-3-27b-it,multihop,mars-color,Mars,logit,10,u | y | on |  MAP | g | d | k |  HAS | et |  has
gemma-3-27b-it,multihop,mars-color,Mars,logit,11,u | y |  has | on |  HAS |  MAP | ಾ | et |  SMK | g
gemma-3-27b-it,multihop,mars-color,Mars,logit,12,u | on | ಾ | et | y |  has |  HAS | g |  MAP | d
gemma-3-27b-it,multihop,mars-color,Mars,logit,13,u | et | y | on | ಾ |  has |  HAS |  А |  MAP | g
gemma-3-27b-it,multihop,mars-color,Mars,logit,14,u | et | ಾ | y | on | g |  А | b |  HAS |  EYE
gemma-3-27b-it,multihop,mars-color,Mars,logit,15,u | et | ಾ | y | on | g | b |  А |  EYE |  HAS
gemma-3-27b-it,multihop,mars-color,Mars,logit,16,u | y | et | ಾ | g | b | on | t |  А | k
gemma-3-27b-it,multihop,mars-color,Mars,logit,17,u | y | et | g | t | on | ಾ | b |  А | k
gemma-3-27b-it,multihop,mars-color,Mars,logit,18,u | y | et | g |  А | t |  О |  HAS |  EYE | on
gemma-3-27b-it,multihop,mars-color,Mars,logit,19,u | y | t | et |  А | g |  О | on |  З | hiy
gemma-3-27b-it,multihop,mars-color,Mars,logit,20,y | u |  А |  О | t | g | hiy | et | ！) |  Y
gemma-3-27b-it,multihop,mars-color,Mars,logit,21,y |  А | u |  О |  Я | t | g | hiy | et | ！)
gemma-3-27b-it,multihop,mars-color,Mars,logit,22, А | y |  О | u |  Я |  Y | hiy |  Α | ！) |  Н
gemma-3-27b-it,multihop,mars-color,Mars,logit,23, А |  О | y |  Я |  Α |  Y | u |  З |  Н |  скорее
gemma-3-27b-it,multihop,mars-color,Mars,logit,24, А |  О | y |  Я |  что |  Α |  скорее |  NIKE |  не |  AMERICA
gemma-3-27b-it,multihop,mars-color,Mars,logit,25, А |  не |  О |  AMERICA |  скорее |  is |  Я |  что |  a | y
gemma-3-27b-it,multihop,mars-color,Mars,logit,26, a |  А |  не |  is |  что |  CAN | oncé |  has |  на |  COLOR
gemma-3-27b-it,multihop,mars-color,Mars,logit,27, a |  не |  has |  is |  А |  color |  COLOR |  sunlight |  AMERICA |  much
gemma-3-27b-it,multihop,mars-color,Mars,logit,28, не |  a |  color |  А |  is |  more |  COLOR |  much |  что |  sunlight
gemma-3-27b-it,multihop,mars-color,Mars,logit,29, a |  more |  color |  is |  не |  not |  what |  known |  much |  something
gemma-3-27b-it,multihop,mars-color,Mars,logit,30, color |  more |  a |  is |  colors | 色 | color |  colour |  not |  billions
gemma-3-27b-it,multihop,mars-color,Mars,logit,31, color |  colors | color |  colour | 色 |  more |  reddish |  a |  COLOR |  not
gemma-3-27b-it,multihop,mars-color,Mars,logit,32, color |  colors |  colour | color | 色 |  reddish |  a |  more | colour |  colours
gemma-3-27b-it,multihop,mars-color,Mars,logit,33, color |  colors |  colour | color | 色 |  reddish |  COLOR |  Color | colour |  цвет
gemma-3-27b-it,multihop,mars-color,Mars,logit,34, color |  reddish | color |  colors |  colour | 紅色 | 色 |  more |  red |  a
gemma-3-27b-it,multihop,mars-color,Mars,logit,35, reddish |  color |  more | color |  red |  blue |  colour |  colors |  primarily |  a
gemma-3-27b-it,multihop,mars-color,Mars,logit,36, reddish |  color |  red |  primarily |  more |  blue |  called | color |  very |  colors
gemma-3-27b-it,multihop,mars-color,Mars,logit,37, reddish |  red |  color |  planetary |  primarily |  blue |  Martian |  called |  Mars |  planet
gemma-3-27b-it,multihop,mars-color,Mars,logit,38, reddish |  Mars |  Martian |  planetary |  red |  planet |  mars | 紅色 |  called |  красный
gemma-3-27b-it,multihop,mars-color,Mars,logit,39, reddish |  planet |  Mars |  planetary |  red |  known |  Martian |  primarily | 紅色 |  debated
gemma-3-27b-it,multihop,mars-color,Mars,logit,40, reddish |  primarily |  Mars |  red |  known |  named |  called |  mostly |  planetary |  predominantly
gemma-3-27b-it,multihop,mars-color,Mars,logit,41, Mars |  Martian | Mars |  reddish |  mars |  planetary |  planet |  red |  named |  primarily
gemma-3-27b-it,multihop,mars-color,Mars,logit,42, Mars |  Martian |  reddish | Mars |  red |  planetary |  mars |  planet |  crimson |  orange
gemma-3-27b-it,multihop,mars-color,Mars,logit,43, reddish |  Mars |  red |  Martian | Mars |  rusty |  named |  orange |  predominantly |  called
gemma-3-27b-it,multihop,mars-color,Mars,logit,44, reddish |  Mars |  Martian |  red |  orange | Mars |  rusty |  named |  planetary |  crimson
gemma-3-27b-it,multihop,mars-color,Mars,logit,45, reddish |  red |  orange |  Mars |  known |  Martian |  красный | 红色 |  rusty |  Red
gemma-3-27b-it,multihop,mars-color,Mars,logit,46, red |  reddish | 红 |  красный |  orange | 红色 |  Red |  крас | red | 紅色
gemma-3-27b-it,multihop,mars-color,Mars,logit,47, red |  reddish | 红 |  orange | 红色 |  красный |  крас |  Red | red |  kırmızı
gemma-3-27b-it,multihop,mars-color,Mars,logit,48, red |  reddish |  orange |  красный | 红色 | 红 |  reds | 紅色 | red |  kırmızı
gemma-3-27b-it,multihop,mars-color,Mars,logit,49, red |  reddish | 红 |  красный |  orange | 红色 |  kırmızı |  reds |  крас |  Red
gemma-3-27b-it,multihop,mars-color,Mars,logit,50, red |  reddish | 红 |  orange |  красный | 红色 |  Red |  крас |  reds |  kırmızı
gemma-3-27b-it,multihop,mars-color,Mars,logit,51, red |  reddish | 红 |  красный |  orange |  Red |  reds |  крас | 红色 |  kırmızı
gemma-3-27b-it,multihop,mars-color,Mars,logit,52, red |  reddish |  Red | 红 | Red | red |  красный |  reds |  RED |  крас
gemma-3-27b-it,multihop,mars-color,Mars,logit,53, red |  reddish |  Red | 红 | red | Red |  красный |  RED |  reds |  крас
gemma-3-27b-it,multihop,mars-color,Mars,logit,54, red |  reddish |  Red | 红 | red | Red |  RED |  reds |  красный |  крас
gemma-3-27b-it,multihop,mars-color,Mars,logit,55, red |  reddish |  Red | red |  orange | 红 |  RED | Red |  красный |  reds
gemma-3-27b-it,multihop,mars-color,Mars,logit,56, red |  reddish |  Red |  orange |  commonly | red |  predominantly | Red |  RED |  often
gemma-3-27b-it,multihop,mars-color,Mars,logit,57, red |  reddish |  Red |  orange |  commonly | red |  predominantly |  often |  RED |  primarily
gemma-3-27b-it,multihop,mars-color,Mars,logit,58, red |  Red |  reddish |  commonly |  often |  orange |  RED | Red |  primarily | red
gemma-3-27b-it,multihop,mars-color,Mars,logit,59, red |  Red |  reddish |  often |  orange |  famously |  known |  called |  predominantly |  commonly
gemma-3-27b-it,multihop,mars-color,Mars,logit,60, red |  Red |  often |  reddish |  commonly |  a |  known |  called |  most |  predominantly
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,released-R,0," ..."" | ."" |  ."" |  "") | ,"" | ..."" | !"" |  ?"" | "") |  !"""
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,released-R,1," ..."" | ..."" | ."" |  ."" | ,"" | !"" | "") |  "") | )"" |  !"""
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,released-R,2," ..."" | ..."" | ."" | ,"" | !"" |  ."" | "") | "" |  "") | )"""
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,released-R,3," ..."" | ..."" | ."" | ,"" | "" | !"" |  ."" | "") | "", |  "")"
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,released-R,4," ..."" | ..."" | ."" | ,"" | "" | !"" |  ."" | "", |  "". |  "","
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,released-R,5," ..."" | ..."" | ."" | "" | ,"" |  "" | !"" | "", | "". |  ""."
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,released-R,6," ..."" | ..."" | ."" | "" | ,"" | !"" | "", | "". |  "" |  ."""
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,released-R,7,""" | ..."" | ."" | ,"" |  ..."" |  "" | !"" | "", | "". |  ""."
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,released-R,8,"..."" |  ..."" | ."" | "" | ,"" | !"" | "", | "". | ?"" |  """
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,released-R,9," ..."" | ..."" | "" | ."" | ,"" | !"" | "", | "". |  ."" | ?"""
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,released-R,10," ..."" | ."" | ..."" | "" | ,"" | !"" | "", |  ."" | "". | ?"""
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,released-R,11,"..."" |  ..."" | ."" | "" | ,"" | !"" | "", | "". | ?"" |  ."""
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,released-R,12,"."" | "" |  ..."" | ..."" | ,"" | !"" | "", | "". |  ."" | ?"""
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,released-R,13,"."" |  ..."" | "" | ..."" | ,"" | "", | !"" | "". |  ."" |  ""."
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,released-R,14,"."" | "" |  ..."" | ..."" | ,"" | "", | !"" | "". |  "", |  """
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,released-R,15," ..."" | ."" | ..."" | "" | ,"" | "", | !"" | "". |  "", |  ""."
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,released-R,16,"."" | "" |  ..."" | ..."" | ,"" | "", | !"" | "". | ?"" |  "","
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,released-R,17," ..."" | ..."" | ."" | "" | ,"" | "", | !"" | "". | ?"" |  "","
gemma-3-27b-it,multilingual,spanish-opposite-big,Spanish,released-R,18," ..."" | ."" | ..."" | "" | ,"" | "", | !"" | "". | ?"" |  "","
