construct,model,model_key,prompt,delta,n_depths
non_echo_norefill,gemma-3-27b-it,gemma-3-27b-it,typo::typo-million,-0.1,5
non_echo_norefill,gemma-3-27b-it,gemma-3-27b-it,multilingual::es-number-after-two,0.0,5
non_echo_norefill,gemma-3-27b-it,gemma-3-27b-it,multilingual::fr-double-three,0.0,5
non_echo_norefill,gemma-3-27b-it,gemma-3-27b-it,multilingual::portuguese-season-spring,0.0,5
non_echo_norefill,gemma-3-27b-it,gemma-3-27b-it,typo::typo-company,0.0,5
non_echo_norefill,gemma-3-27b-it,gemma-3-27b-it,multilingual::italian-color-sky,0.1,5
non_echo_norefill,gemma-3-27b-it,gemma-3-27b-it,typo::typo-people,0.1,5
non_echo_norefill,gemma-3-27b-it,gemma-3-27b-it,association::math-h,0.2,5
non_echo_norefill,gemma-3-27b-it,gemma-3-27b-it,association::rivals,0.3,5
non_echo_norefill,gemma-3-27b-it,gemma-3-27b-it,multihop::atomic-79-symbol,0.3,5
non_echo_norefill,gemma-3-27b-it,gemma-3-27b-it,association::interview,0.6,5
non_echo_norefill,gemma-3-27b-it,gemma-3-27b-it,association::poker,0.6,5
non_echo_norefill,gemma-3-27b-it,gemma-3-27b-it,poetry::couplet-heart-apart,0.7,5
non_echo_norefill,gemma-3-27b-it,gemma-3-27b-it,poetry::couplet-fall-wall,0.9,5
non_echo_norefill,gemma-3-27b-it,gemma-3-27b-it,poetry::couplet-white-write,0.9,5
non_echo_norefill,gemma-3-27b-it,gemma-3-27b-it,poetry::couplet-crack-black,1.0,5
non_echo_norefill,qwen3.5-27b,qwen3.5-27b,association::math-h,-0.5,5
non_echo_norefill,qwen3.5-27b,qwen3.5-27b,typo::typo-company,-0.3,5
non_echo_norefill,qwen3.5-27b,qwen3.5-27b,multihop::month-3-godof,-0.2,5
non_echo_norefill,qwen3.5-27b,qwen3.5-27b,multihop::super-smallest-continent,-0.1,5
non_echo_norefill,qwen3.5-27b,qwen3.5-27b,multilingual::portuguese-season-spring,-0.1,5
non_echo_norefill,qwen3.5-27b,qwen3.5-27b,typo::typo-message,0.0,5
non_echo_norefill,qwen3.5-27b,qwen3.5-27b,multihop::spaceneedle-border,0.2,5
non_echo_norefill,qwen3.5-27b,qwen3.5-27b,association::interview,0.3,5
non_echo_norefill,qwen3.5-27b,qwen3.5-27b,multihop::atomic-79-symbol,0.3,5
non_echo_norefill,qwen3.5-27b,qwen3.5-27b,association::poker,0.4,5
non_echo_norefill,qwen3.5-27b,qwen3.5-27b,poetry::couplet-white-write,0.4,5
non_echo_norefill,qwen3.5-27b,qwen3.5-27b,typo::typo-people,0.4,5
non_echo_norefill,qwen3.5-27b,qwen3.5-27b,multilingual::fr-double-three,0.5,5
non_echo_norefill,qwen3.5-27b,qwen3.5-27b,poetry::couplet-crack-black,0.5,5
non_echo_norefill,qwen3.5-27b,qwen3.5-27b,typo::typo-million,0.5,5
non_echo_norefill,qwen3.5-27b,qwen3.5-27b,poetry::couplet-heart-apart,0.6,5
non_echo_norefill,qwen3.5-27b,qwen3.5-27b,multilingual::es-number-after-two,0.7,5
non_echo_norefill,qwen3.5-27b,qwen3.5-27b,poetry::couplet-fall-wall,0.8,5
non_echo_norefill,qwen3.5-27b,qwen3.5-27b,multilingual::italian-color-sky,1.0,5
non_echo_norefill,qwen3.5-27b,qwen3.5-27b,association::rivals,1.1,5
